department,section,segment,avg_consum_mean,avg_consum_std,qty_customers_count
1,10,5,204.54595129830494,156.8672626912562,7
1,10,6,345.4977620442708,,1
1,10,8,194.441324101554,110.60088970522624,24
1,10,9,298.5367431640625,,1
1,10,12,194.5167715890067,69.11677757523503,7
1,10,21,256.47608439127606,118.94926622331768,2
1,10,40,374.0714111328125,10.390694764428128,2
1,10,45,245.41949462890625,,1
1,10,52,266.2050476074219,61.03116140858776,2
1,10,55,143.50816853841147,,1
1,10,57,251.45575777689615,112.38566064276593,13
1,10,58,230.24539245956245,108.0055824339581,29
1,10,59,303.42653401692706,71.47380446783323,2
1,10,101,272.8590494791667,110.42397703742384,2
1,10,102,183.15046183268228,142.52933237188478,2
1,10,110,223.9158292134603,120.5942652575314,10
1,10,111,337.94191487630206,,1
1,10,117,320.82366943359375,,1
1,10,118,302.628662109375,,1
1,10,123,229.07950846354166,,1
1,10,124,353.615478515625,,1
1,10,126,337.6411539713542,,1
1,10,128,211.6435550230521,103.83111200393934,180
1,10,129,291.9019707573785,66.5360770724918,3
1,10,130,179.17915852864584,,1
1,10,132,369.0575764973958,,1
1,10,136,252.8205769856771,,1
1,10,138,285.69072129991315,81.16522533328595,3
1,10,139,132.86920674641928,40.745078946033274,2
1,10,146,331.6821695963542,,1
1,10,148,374.8279215494792,,1
1,10,149,199.374755859375,,1
1,10,150,225.79608154296875,,1
1,10,168,295.2097727457682,50.24115658890608,8
1,10,201,249.49251708984374,111.05742965565125,25
1,10,202,169.49624972873264,54.1997030975824,3
1,10,203,189.70096299913195,79.91337846685565,15
1,10,207,220.36848156540484,115.56332237411964,36
1,10,210,244.6840616861979,91.18030651453155,3
1,10,211,361.0965983072917,,1
1,10,213,46.183502197265625,,1
1,10,214,122.67191569010417,,1
1,10,217,247.59595489501953,110.23405207377303,4
1,10,218,216.7715047200521,,1
1,10,219,288.9768880208333,145.50296469028433,3
1,10,220,277.78733317057294,,1
1,10,224,383.1890869140625,,1
1,10,225,257.1956787109375,,1
1,10,227,317.2587483723958,,1
1,10,228,212.1803639729818,86.94974738535144,8
1,10,230,151.8376668294271,,1
1,10,231,132.42674763997397,,1
1,10,235,23.326416015625,,1
1,10,236,344.0854899088542,,1
1,10,237,309.69651285807294,,1
1,10,238,15.521834055582682,,1
1,10,239,226.2539265950521,,1
1,10,246,204.66817220052084,,1
1,10,316,369.2962646484375,,1
1,10,319,244.80950927734375,,1
1,10,320,191.75283304850262,84.93590080323253,2
1,10,338,310.30694580078125,106.39427976207057,2
1,10,419,303.4776204427083,39.696208203110515,2
1,10,428,273.20479329427087,91.74575256327111,2
1,11,1,302.7968343098958,,1
1,11,2,333.1847330729167,,1
1,11,4,232.69283718532986,106.72476725942929,3
1,11,12,183.3487548828125,,1
1,11,18,369.5325113932292,,1
1,11,20,207.5566609700521,,1
1,11,28,271.3158365885417,,1
1,11,31,266.1181640625,,1
1,11,32,376.0711669921875,,1
1,11,59,231.3470492892795,100.44885798510606,9
1,11,60,229.0171941121419,123.86452898543077,8
1,11,61,340.58367919921875,,1
1,11,62,256.2362976074219,5.63877089125769,2
1,11,69,232.82750108506943,86.20124771366329,3
1,11,73,342.5542907714844,3.8954028050901024,2
1,11,78,249.85965983072916,,1
1,11,79,193.24247354174418,96.74658672588149,21
1,11,80,121.02100022633871,77.36707119462366,4
1,11,81,201.71836547851564,68.13836731311515,5
1,11,82,201.5210652669271,109.51595636073078,5
1,11,83,368.2033284505208,26.070240224355068,3
1,11,84,226.41340149773487,158.18192404159527,6
1,11,85,173.499755859375,,1
1,11,88,215.6934560139974,184.8438943197717,2
1,11,92,215.63467461722237,149.24341028148967,7
1,11,94,347.453857421875,,1
1,11,95,316.4601643880208,,1
1,11,99,254.13889567057296,36.12266081231035,3
1,11,107,366.60258992513025,42.85055297368562,2
1,11,111,133.6995849609375,,1
1,11,129,27.922332763671875,,1
1,11,136,257.0315755208333,,1
1,11,163,151.58016967773438,,1
1,11,186,152.52477010091147,79.86536417814158,4
1,11,187,231.62737019856772,41.252312109372845,2
1,11,189,281.0011664496528,45.56282372099363,3
1,11,207,210.0238240559896,,1
1,11,209,400.9359944661458,,1
1,11,211,377.5181681315104,38.15064932595406,2
